MLS Listing,,Single Family Residential,55 Southwood Dr,San Francisco,CA,94112,1195000,3,1.25,Westwood Park,,3898,1919,2,,,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/55-Southwood-Dr-94112/home/1387308,San Francisco MLS,459845,N,Y,37.7250502,-122.4575416
MLS Listing,,Single Family Residential,727 Gates St,San Francisco,CA,94110,849000,2,1,Bernal Heights,1148,1746,1946,2,740,,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/727-Gates-St-94110/home/1912145,San Francisco MLS,459877,N,Y,37.7342315,-122.4142219
MLS Listing,,Vacant Land,2812 Lot368 Block368,California City,CA,,19000,,,CAC - California City,,10220,,2,,,Active,,,http://www.redfin.com/CA/San-Francisco/368-California-St-94104/home/136796989,CRMLS,PW17148485,N,Y,37.793104,-122.4009261
MLS Listing,,Condo/Co-op,601 Van Ness Ave #908,San Francisco,CA,94102,459000,0,1,Van Ness/Civic Center,489,,1982,2,939,702,Active,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-908/home/1162364,San Francisco MLS,459491,N,Y,37.7811165,-122.4213309
MLS Listing,,Single Family Residential,230 Granada Ave,San Francisco,CA,94112,1050000,6,2.5,San Francisco,1455,2809,1908,3,,,Active,,,http://www.redfin.com/CA/San-Francisco/230-Granada-Ave-94112/home/1836376,MetroList,17040876,N,Y,37.7225889,-122.4569827
MLS Listing,,Multi-Family (2-4 Unit),125-127 Ashbury St,San Francisco,CA,94117,1995000,4,2,North Panhandle,2504,3541,1921,3,797,,Active,,,http://www.redfin.com/CA/San-Francisco/125-Ashbury-St-94117/home/2036076,San Francisco MLS,459869,N,Y,37.774221,-122.448091
MLS Listing,,Condo/Co-op,1160 Mission St #1012,San Francisco,CA,94103,750000,1,1,South of Market,662,,2009,3,1133,583,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1160-Mission-St-94103/unit-1012/home/17305431,San Francisco MLS,459865,N,Y,37.7783901,-122.412238
MLS Listing,,Single Family Residential,1826 34th Ave,San Francisco,CA,94122,995000,3,2,Central Sunset,1959,2965,1941,3,508,,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1826-34th-Ave-94122/home/644988,San Francisco MLS,459862,N,Y,37.7529898,-122.4922527
MLS Listing,,Condo/Co-op,1000 3rd St #611,San Francisco,CA,94158,1925000,3,2,Mission Bay,1458,,,3,1320,877,Active,,,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-611/home/136430444,San Francisco MLS,458938,N,Y,37.7734359,-122.3898896
MLS Listing,,Condo/Co-op,110 Channel St #631,San Francisco,CA,94158,755000,0,1,Mission Bay,495,,,3,1525,622,Active,,,http://www.redfin.com/CA/San-Francisco/110-Channel-St-94158/unit-631/home/136399971,San Francisco MLS,459703,N,Y,37.7733155,-122.3930001
MLS Listing,,Condo/Co-op,110 Channel St #415,San Francisco,CA,94158,900000,1,1,Mission Bay,746,,,3,1206,693,Active,,,http://www.redfin.com/CA/San-Francisco/110-Channel-St-94158/unit-415/home/136392832,San Francisco MLS,459708,N,Y,37.7733155,-122.3930001
MLS Listing,,Single Family Residential,2007 30th Ave,San Francisco,CA,94116,950000,2,1,Parkside,1075,2063,1941,3,884,,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/2007-30th-Ave-94116/home/651353,San Francisco MLS,459852,N,Y,37.7497685,-122.4881842
MLS Listing,,Condo/Co-op,631 Folsom St Unit 6A,San Francisco,CA,94107,1398000,2,2,Yerba Buena,1136,,2009,3,1231,806,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/631-Folsom-St-94107/unit-6A/home/18904680,San Francisco MLS,459841,N,Y,37.7848176,-122.3969578
MLS Listing,,Condo/Co-op,900 Bush St #501,San Francisco,CA,94109,689000,1,1,Downtown,,,1981,3,,799,Active,July-2-2017 01:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/900-Bush-St-94109/unit-501/home/554292,San Francisco MLS,459759,N,Y,37.7900062,-122.4124382
MLS Listing,,Condo/Co-op,968 Central Ave,San Francisco,CA,94115,949500,2,2,North Panhandle,,,1900,3,,264,Active,,,http://www.redfin.com/CA/San-Francisco/968-Central-Ave-94115/home/136203825,San Francisco MLS,459815,N,Y,37.7787473,-122.4451967
MLS Listing,,Condo/Co-op,1 Daniel Burnham Ct #112,San Francisco,CA,94109,629000,0,1,Van Ness/Civic Center,595,,1988,3,1057,482,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1-Daniel-Burnham-Ct-94109/unit-112/home/1571951,San Francisco MLS,459598,N,Y,37.7867744,-122.4224906
MLS Listing,,Condo/Co-op,1656 Beach St,San Francisco,CA,94121,929000,1,1,San Francisco County,788,,1938,3,1179,140,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1656-Beach-St-94123/home/997422,BAREIS,21715145,N,Y,37.804844,-122.4363617
MLS Listing,,Single Family Residential,135 Ledyard St,San Francisco,CA,94124,799000,2,1,Silver Terrace,1300,2125,1941,3,615,,Active,,,http://www.redfin.com/CA/San-Francisco/135-Ledyard-St-94124/home/1874424,San Francisco MLS,459800,N,Y,37.7322794,-122.400704
MLS Listing,,Single Family Residential,1087 Palou Ave,San Francisco,CA,94124,799900,5,2,Bayview,1452,1873,1900,4,551,,Active,July-2-2017 01:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1087-Palou-Ave-94124/home/1997450,San Francisco MLS,459551,N,Y,37.728354,-122.381454
MLS Listing,,Condo/Co-op,1688 Pine St Unit EPH06,San Francisco,CA,94109,2675000,2,2.5,Van Ness/Civic Center,1485,,2016,4,1801,889,Active,July-2-2017 12:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-EPH06/home/112978499,San Francisco MLS,459821,N,Y,37.7892328,-122.4235521
MLS Listing,,Condo/Co-op,499 33rd Ave #303,San Francisco,CA,94112,998000,3,2.5,Outer Richmond,1342,,,4,744,492,Active,,,http://www.redfin.com/CA/San-Francisco/499-33rd-Ave-94121/unit-303/home/1892392,San Francisco MLS,459782,N,Y,37.7800251,-122.4934688
MLS Listing,,Multi-Family (2-4 Unit),2133-35 Balboa St,San Francisco,CA,94121,1395000,4,2,Central Richmond,2959,2495,1924,4,471,,Active,July-2-2017 02:00 PM,July-2-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/2133-Balboa-St-94121/home/1314662,San Francisco MLS,459779,N,Y,37.776173,-122.481853
